field	type	required	description
schemaVersion	integer	yes	comparison receipt schema version
experimentId	string	yes	frozen experiment identity
runner.source	git-sha	yes	exact experimental st2 source
runner.sha256	sha256	yes	exact experimental st2 executable
modelCalls	nonnegative-integer	yes	provider/model calls made by this run
remoteSourcesOfflineDuringRecovery	boolean	yes	both recoveries occurred with remote sources unavailable
storage.plainFoldersSufficient	boolean	yes	no service or content-addressed store is required
storage.casRequired	boolean	yes	whether content-addressed storage is required
arms.A.transport	enum:catalog-plan	yes	arm A durable transport
arms.B.transport	enum:st2-direct-messages	yes	arm B durable transport
arms.A.initialIntentSha256	sha256	yes	recovered initial intent hash
arms.B.initialIntentSha256	sha256	yes	recovered initial intent hash
arms.A.steeredIntentSha256	sha256	yes	recovered revised intent hash
arms.B.steeredIntentSha256	sha256	yes	recovered revised intent hash
outcomes.coldResume.verdict	enum:tie|arm-a|arm-b	yes	comparative cold-resume result
outcomes.intentRecovery.verdict	enum:tie|arm-a|arm-b	yes	comparative exact-intent result
outcomes.humanSteering.verdict	enum:tie|arm-a|arm-b	yes	comparative steering result
outcomes.acceptanceEvidence.verdict	enum:tie|arm-a|arm-b	yes	comparative worker-acceptance evidence result
planOnly.staticIntentValidation	enum:pass|fail	yes	read-only plan schema and graph validation
planOnly.provenanceResolution	enum:pass|fail	yes	read-only resolved resource provenance
directOnly.messageDelivery	enum:pass|fail	yes	durable direct-message delivery
directOnly.replyLineage	enum:pass|fail	yes	direct-message inReplyTo lineage
liveUnresolved	array	yes	endpoints requiring separately authorized model runs
conclusion	enum:no-measured-advantage|arm-a-advantage|arm-b-advantage	yes	model-free comparative conclusion
